,keys,value
360,evaporate,"{'1059, 9': 'Water was so hot that it evaporates for dry dishes.', '1127, 5': 'The wind is getting fed moisture that evaporates from the ocean.', '127, 6': 'The vapor evaporates into the atmosphere.', '13, 9': 'The water evaporates back into the atmosphere.', '15, 2': 'Water evaporates from the earth.', '15, 5': 'Large amounts of water end up in bigger clouds as more water evaporates.', '212, 1': 'Water evaporates because of the sun.', '212, 2': 'Water vapor rises into the air as it evaporates.', '316, 4': 'When rain evaporates it leaves the wood.', '43, 3': 'The water evaporates from the heat.', '441, 1': 'As the sweat evaporates the sweat sheds molecules into the air.', '45, 1': 'Water evaporates from the ground up to the sky.', '496, 5': 'The moisture evaporates.', '57, 1': 'Water evaporates from the ground up to the sky.', '58, 9': 'The rest of the floodwater evaporates.', '666, 2': 'The heated water evaporates.', '70, 8': 'The rest of the water evaporates.', '720, 4': 'Water evaporates.', '880, 1': 'Water evaporates and becomes gaseous.', '948, 1': 'Water evaporates from the earth.', '949, 1': 'Water from a lake or ocean evaporates.', '996, 6': 'Water evaporates.'}"
361,evaporating,"{'1129, 4': 'The storm is fed by rising air from warm ocean water evaporating.'}"
362,excavate,"{'423, 1': 'A mine is excavated in the side of a mountain.'}"
363,exchange,"{'140, 5': 'The cells in the body exchange the oxygen with carbon dioxide.'}"
364,exchange,"{'925, 3': 'At each cell in your body, oxygen is exchanged for a waste gas called carbon dioxide.'}"
365,excrete,"{'254, 5': 'The seed is digested by the animal and excreted into a new area.'}"
366,exert,"{'919, 2': 'As the plates move, they exert a great force.'}"
367,exert,"{'908, 3': 'The force of the pressure exerted on the rock surrounding it is enough to wedge the walls of the crack farther apart, thus expanding and deepening the crack.'}"
368,exhale,"{'141, 5': 'You exhale.', '770, 9': 'Carbon dioxide released when you exhale.', '794, 8': 'Carbon dioxide released when you exhale.'}"
369,exhale,"{'139, 9': 'Carbon dioxide travels through the throat and is exhaled.', '141, 7': 'Carbon dioxide is exhaled.', '257, 7': 'Carbon dioxide is exhaled.', '294, 5': 'The carbon dioxide is exhaled out of the body through the nose or mouth.', '540, 10': 'The carbon dioxide is exhaled out of the body.', '771, 7': 'The carbon dioxide is exhaled.', '846, 7': 'Carbon dioxide is exhaled by the lungs.', '925, 4': 'Your bloodstream then carries this waste gas back to the lungs where it is removed from the blood stream and then exhaled.', '942, 4': 'Carbon dioxide is removed from the lungs and exhaled.'}"
370,exhibit,"{'411, 5': 'The neurons in these two retinal layers exhibit complex receptive fields that enable them to detect contrast changes within an image; these changes might indicate edges or shadows.'}"
371,exist,"{'207, 2': 'Two types of proteins exist in filaments in the muscles.', '207, 5': 'Opposing pairs of muscles exist in order to provide the necessary range of motion.'}"
372,exist,"{'1145, 1': 'A red giant star forms from an existing star.'}"
373,exist,"{'429, 1': 'Nitrogen exists naturally in the atmosphere.'}"
374,exit,"{'1299, 5': 'The clean blood exits the kidneys.', '212, 6': 'Some water vapor exits clouds as rain.', '587, 8': 'The adult butterfly exits the chrysalis.', '940, 5': 'Oxygen exits the leaves through the stomata by diffusion.', '940, 6': 'The plant reuses the water or the water exits through the stomata as water vapor.'}"
375,expand,"{'1145, 4': 'Energy produced by helium fusion causes the star to expand.', '1208, 5': 'Combustion gases expand.', '539, 1': 'They expand to take the air in .', '540, 2': 'Diaphragm and other muscles expand to allow room for your lungs to fill.', '931, 2': 'Gas bubbles form and expand, causing lots of pressure.', '941, 2': 'The lungs expand.', '950, 3': 'The cracks expand.'}"
376,expande,"{'221, 2': 'Then it expandes and cools.'}"
377,expand,"{'206, 1': 'Muscles work by expanding and contracting.', '503, 6': 'The expanding air and gas pushes a piston out.', '908, 3': 'The force of the pressure exerted on the rock surrounding it is enough to wedge the walls of the crack farther apart, thus expanding and deepening the crack.'}"
378,expand,"{'410, 3': 'The pupil within the iris expands or contracts to control the amount of light entering the eye.', '503, 5': 'The burning gas expands when it encounters air.', '721, 3': 'The warm air expands.', '808, 5': 'The water expands as it freezes, one of the few liquids that has greater volume as a solid.', '908, 2': 'As water expands it puts great pressure on the walls of anything containing it, including any rocks which happen to be surrounding it.'}"
379,expel,"{'132, 5': 'The lungs expel through the nose or mouth back into the environment.', '140, 7': 'The lungs expel the carbon dioxide through the nose and mouth.', '256, 8': 'You breathe out and expel the carbon dioxide from your lungs.', '384, 6': 'The virus causes symptoms in the body as the immune system tries to expel the virus.', '660, 5': 'Animals expel wastes.', '996, 1': 'People breathe and expel carbon dioxide.'}"
380,expel,"{'1299, 3': 'Waste is expelled via the neophrons.', '489, 10': 'The food is expelled from the body.', '536, 7': 'The urine is expelled from the body.', '547, 5': 'Excess water and waste is expelled from the kidneys in the form of urine.', '624, 3': 'The cleaned blood is expelled.', '772, 6': 'The remaining carbon dioxide is expelled through the mouth.'}"
381,expend,"{'908, 4': 'Clay expends when wet like ice does.'}"
382,explode,"{'920, 5': 'The resulting volcano may explode.'}"
383,explode,"{'509, 4': 'The fuel explodes.', '609, 5': 'The gasoline charge in the cylinder explodes, driving the piston down.', '921, 3': 'Magma explodes to the surface.'}"
384,expose,"{'1051, 1': 'Iron is exposed to oxygen.', '1051, 2': 'Is exposed to air.', '127, 1': 'Water is exposed to heat energy, like sunlight.', '186, 1': 'Bread is exposed to the elements.', '448, 6': 'Rocks buried deep underground exposed to high heat and pressure become metamorphic rock.'}"
385,extract,"{'425, 1': 'The oil is extracted from the ground by drilling.', '873, 1': 'The oil is extracted either onshore or offshore by large oil rigs.'}"
386,fall,"{'1064, 2': 'The spores fall to the ground.', '186, 4': 'Dust particles with mold spores fall on bread.', '211, 6': 'Ice particles fall from the clouds.', '211, 7': 'Ice particles fall through warmer air and melt.', '249, 2': 'The rocks fall apart.', '254, 6': ""The seeds attached to the animal's fur fall off into a new area."", '43, 9': 'The droplets fall to earth as rain.', '465, 3': 'The water starts to fall.', '56, 9': 'The snow flakes fall to the ground as snow.', '696, 6': 'Rain will fall.', '876, 7': 'This is when they will fall to the ground as rain, or maybe snow or hail by gravity.', '877, 7': 'The heavy droplets fall.', '877, 8': 'As they fall, they join with more moisture in the air.', '880, 4': 'The clouds become too heavy and it starts to fall.', '892, 5': 'The snowflakes fall to the ground.', '948, 3': 'The water drops fall back to earth.'}"
387,fall,"{'1030, 1': 'Your thermostat senses that the room temperature has fallen below your thermostat setting.', '947, 6': 'Fallen rain or snow collects into surface water which will evaporate into water vapor again.'}"
388,falling,"{'465, 4': 'The winds are strong enough from keeping it from falling back to earth.'}"
389,fall,"{'1106, 2': 'The seed falls to the ground.', '1114, 1': 'Rainwater falls onto the soil.', '1205, 6': 'The scab falls off.', '15, 7': 'The water falls back to earth as rain or snow from the clouds.', '22, 3': 'Water from precipitation falls in the area.', '31, 2': 'Rain picks up carbon dioxide as it falls to earth.', '31, 3': 'The rain falls on the soil over the limestone.', '316, 1': 'Rain falls on wood.', '38, 1': 'The animal dies and the body falls down.', '38, 3': 'The body falls in a sandy or wet place.', '458, 4': 'The affected rain falls to the earth.', '459, 5': 'The rain with the high acid content falls.', '463, 5': ""Eventually the hailstone falls to earth either because it's too heavy to remain aloft or because a drowndraft pushes it down."", '465, 7': 'The hail finally falls to the ground.', '514, 1': 'Snow falls in an area for a very long time.', '605, 2': 'Falls onto the ground.', '64, 2': 'Rain falls.', '695, 5': 'Water falls back to the earth in the form of rain, hail, sleet or snow.', '743, 5': 'The pollen sac falls off and pollinates the plant.', '745, 4': 'Some pollen falls off the bee.', '877, 10': 'Rain falls.', '879, 6': 'The water falls from the clouds.'}"
390,fatten,"{'493, 1': 'An animal eats a lot of food to fatten up.'}"
391,feed,"{'1127, 5': 'The wind is getting fed moisture that evaporates from the ocean.', '1129, 4': 'The storm is fed by rising air from warm ocean water evaporating.', '637, 3': 'And is fed food for growth.', '791, 4': 'Electricity is fed into an inverter to change it to AC electricity.'}"
392,feed,"{'522, 5': 'The parents feed them as the continue to grow.', '635, 5': 'The mother bird must feed the baby bird food.'}"
393,feel,"{'300, 5': 'We feel unwell.', '300, 9': ""The body's natural defenses can sometimes cause us to feel unwell."", '919, 6': 'We feel the earthquake.'}"
394,fertilize,"{'635, 2': 'A baby bird forms within the egg if it is fertilized.', '645, 2': 'The fertilized egg, now a zygote, travels to the uterus.', '647, 4': 'The flowers become fertilized.'}"
395,fight,"{'1099, 4': 'The immune system creates antibodies to fight the virus or bacteria.', '1099, 6': 'The antibodies are ready to fight the disease if the person is infected with the disease.'}"
396,figure,"{'742, 6': 'The bat can figure out where the object is located.'}"
397,figure,"{'1204, 6': 'The ribosome figures out where to start on the mRNA by finding a special three letter ""begin"" sequence called a codon.'}"
398,fill,"{'1004, 2': 'Fill the tray with water from the faucet.', '1046, 7': 'Fill the soap cup.', '141, 4': 'Your lungs fill with air.', '287, 3': 'Fill the tray with cold water.', '448, 5': 'Minerals fill in the gaps in the sediment eventuality becoming sedimentary rocks.', '540, 2': 'Diaphragm and other muscles expand to allow room for your lungs to fill.', '61, 1': 'Minerals fill spaces between bits of sediment.', '725, 6': 'He void left behind may then fill with minerals making a stone replica of the organism.', '795, 2': 'Air goes through all the little branches in your lungs to fill up the air sacs, or alveoli.', '807, 2': 'Fill the tray with cool water.', '808, 2': 'You fill the tray with warm water.', '922, 4': 'Pressure builds in the magma chambers as they fill.'}"
399,fill,"{'1293, 1': 'The carafe is filled with water.', '1294, 1': 'The coffee pot is filled with water.', '287, 4': 'Ensure the tray is evenly filled to an appropriate level.', '43, 6': 'The clouds become larger as they are filled with more water.', '503, 1': 'A car is filled with gasoline (gas).', '667, 4': 'Some of the water reaches a zone where all the cracks and pores in the rock are already filled with water.', '716, 1': 'Blood filled with waste flows into the kidneys.', '900, 6': 'The sound enters the liquid-filled cochlea.'}"
400,fill,"{'631, 5': 'As the truck fills it will compact the trash.', '828, 10': 'The steam fills the next piston, driving it up, and the other one down.', '924, 4': 'Air fills all the sacks in the lungs.', '942, 3': 'The oxygen fills the sacs in your lungs.'}"
401,filter,"{'536, 4': 'The kidneys filter the blood.', '547, 3': 'The kidneys filter the waste from the blood.', '716, 3': 'The nephrons in the kidneys filter the blood.'}"
402,filter,"{'1298, 3': 'The waste that is filtered out mixes with water.', '542, 6': 'Filtered waste accumulates in liquid form (urine).', '543, 7': 'The filtered blood is sent back into the body.', '624, 4': 'The liver creates bile from the items filtered.', '771, 5': 'Carbon dioxide is filtered out by every cell in the body.'}"
403,filter,"{'1172, 1': 'The liver filters blood from the digestive tract.'}"
404,find,"{'1132, 1': 'Bees find a place for the hive, such as a rock crevice or tree branch.', '1142, 5': 'The survivors must find a new habitat.', '1144, 3': 'Predators can now find their prey eaiser.', '1259, 1': 'A spider must find a suitable place for its web.', '483, 5': 'Find a stamp.', '483, 6': 'Find a post office or your own mail box.', '494, 4': 'Animals find a place to hibernate.', '523, 7': 'The adult birds find mates and mate.', '528, 6': 'The adult rabbits find mates.', '635, 8': 'The bird is able to leave the nest and find food.', '649, 1': 'A seed must find its way to the earth.', '705, 1': 'You find a pen.', '808, 1': 'You find an empty ice cube tray.'}"
405,finding,"{'1204, 6': 'The ribosome figures out where to start on the mRNA by finding a special three letter ""begin"" sequence called a codon.'}"
406,find,"{'38, 7': 'A person now finds the fossil.', '381, 1': 'The virus finds an animal cell.', '493, 2': 'The animal finds or builds a suitable place to hibernate where they can stay warm and protected.', '636, 5': 'The bird finds a mate.', '644, 7': 'The person goes out into the world and finds a job.', '681, 2': 'Winter comes and the animal finds a place to hibernate.', '930, 3': 'The magma finds the weakest point in the volcano.'}"
